"year","fips","pop2020","pop2025","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
2025,12086,2695685,2714489,"Florida","FL",0.006975592474639969,"Miami-Dade County","Miami-Dade County","florida/miami-dade-county",1900,1428.6784210526316,1
2025,12011,1943398,1993815,"Florida","FL",0.025942704479473555,"Broward County","Broward County","florida/broward-county",1203,1657.369077306733,2
2025,12057,1466255,1579746,"Florida","FL",0.07740195259351212,"Hillsborough County","Hillsborough County","florida/hillsborough-county",1023,1544.2287390029326,3
2025,12099,1494282,1561669,"Florida","FL",0.04509657480984175,"Palm Beach County","Palm Beach County","florida/palm-beach-county",1964,795.1471486761711,4
2025,12095,1431679,1510726,"Florida","FL",0.0552127956057189,"Orange County","Orange County","florida/orange-county",903,1673.0077519379845,5
2025,12031,997784,1058444,"Florida","FL",0.060794721101961935,"Duval County","Duval County","florida/duval-county",763,1387.213630406291,6
2025,12103,959793,961204,"Florida","FL",0.0014701086588462253,"Pinellas County","Pinellas County","florida/pinellas-county",274,3508.043795620438,7
2025,12105,730158,878226,"Florida","FL",0.20278898539768098,"Polk County","Polk County","florida/polk-county",1798,488.4460511679644,8
2025,12071,765547,858937,"Florida","FL",0.1219912036752806,"Lee County","Lee County","florida/lee-county",781,1099.7912932138283,9
2025,12101,566156,680706,"Florida","FL",0.20232939331209066,"Pasco County","Pasco County","florida/pasco-county",747,911.2530120481928,10
2025,12009,608775,670523,"Florida","FL",0.1014299207424747,"Brevard County","Brevard County","florida/brevard-county",1015,660.6137931034483,11
2025,12127,555776,611741,"Florida","FL",0.10069704341317376,"Volusia County","Volusia County","florida/volusia-county",1101,555.6230699364214,12
2025,12117,471455,495567,"Florida","FL",0.05114379951426962,"Seminole County","Seminole County","florida/seminole-county",309,1603.7766990291261,13
2025,12115,436237,481935,"Florida","FL",0.10475498410267803,"Sarasota County","Sarasota County","florida/sarasota-county",556,866.7895683453237,14
2025,12097,391141,468266,"Florida","FL",0.19717953372313302,"Osceola County","Osceola County","florida/osceola-county",1328,352.60993975903614,15
2025,12081,401619,464947,"Florida","FL",0.15768178298337476,"Manatee County","Manatee County","florida/manatee-county",743,625.7698519515478,16
2025,12069,386216,453206,"Florida","FL",0.17345216148476506,"Lake County","Lake County","florida/lake-county",952,476.0567226890756,17
2025,12083,377472,437003,"Florida","FL",0.15770971091895558,"Marion County","Marion County","florida/marion-county",1588,275.19080604534,18
2025,12021,377310,417898,"Florida","FL",0.10757202300495616,"Collier County","Collier County","florida/collier-county",1997,209.26289434151226,19
2025,12111,331441,402986,"Florida","FL",0.21586043971626934,"St. Lucie County","St. Lucie County","florida/st-lucie-county",572,704.520979020979,20
2025,12109,277099,346186,"Florida","FL",0.24932244432495243,"St. Johns County","St. Johns County","florida/st-johns-county",601,576.0166389351082,21
2025,12033,322568,333064,"Florida","FL",0.03253887552392043,"Escambia County","Escambia County","florida/escambia-county",657,506.94672754946725,22
2025,12073,293955,296175,"Florida","FL",0.007552176353523565,"Leon County","Leon County","florida/leon-county",668,443.375748502994,23
2025,12001,279737,289900,"Florida","FL",0.036330553341173966,"Alachua County","Alachua County","florida/alachua-county",876,330.93607305936075,24
2025,12019,218951,244049,"Florida","FL",0.11462838717338575,"Clay County","Clay County","florida/clay-county",605,403.38677685950415,25
2025,12053,195624,224551,"Florida","FL",0.14787040444935173,"Hernando County","Hernando County","florida/hernando-county",473,474.737843551797,26
2025,12091,212085,222464,"Florida","FL",0.04893792583162404,"Okaloosa County","Okaloosa County","florida/okaloosa-county",930,239.20860215053764,27
2025,12015,187995,213238,"Florida","FL",0.13427484773531217,"Charlotte County","Charlotte County","florida/charlotte-county",681,313.12481644640235,28
2025,12113,189011,213088,"Florida","FL",0.12738412050092318,"Santa Rosa County","Santa Rosa County","florida/santa-rosa-county",1012,210.56126482213438,29
2025,12005,174525,201887,"Florida","FL",0.1567798309697752,"Bay County","Bay County","florida/bay-county",759,265.99077733860344,30
2025,12017,154568,175072,"Florida","FL",0.13265358935872884,"Citrus County","Citrus County","florida/citrus-county",582,300.8109965635739,31
2025,12061,160446,174851,"Florida","FL",0.08978098550291058,"Indian River County","Indian River County","florida/indian-river-county",503,347.6163021868787,32
2025,12085,158671,165971,"Florida","FL",0.04600714686363605,"Martin County","Martin County","florida/martin-county",544,305.09375,33
2025,12119,130290,165161,"Florida","FL",0.2676414153043212,"Sumter County","Sumter County","florida/sumter-county",557,296.5188509874327,34
