"year","fips","pop2020","pop2025","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
2025,36047,2718447,2504613,"New York","NY",-0.0786603527675912,"Kings County","Kings County","new-york/kings-county",69,36298.739130434784,1
2025,36081,2388864,2199472,"New York","NY",-0.07928119809248246,"Queens County","Queens County","new-york/queens-county",109,20178.642201834864,2
2025,36061,1677232,1603267,"New York","NY",-0.04409944479952688,"New York County","New York County","new-york/new-york-county",23,69707.26086956522,3
2025,36103,1522064,1513562,"New York","NY",-0.005585836075224115,"Suffolk County","Suffolk County","new-york/suffolk-county",911,1661.4291986827661,4
2025,36059,1390491,1374557,"New York","NY",-0.011459261512659968,"Nassau County","Nassau County","new-york/nassau-county",285,4823.00701754386,5
2025,36005,1461151,1305812,"New York","NY",-0.10631276302038595,"Bronx County","Bronx County","new-york/bronx-county",42,31090.761904761905,6
2025,36119,1001453,988979,"New York","NY",-0.01245590157501153,"Westchester County","Westchester County","new-york/westchester-county",431,2294.614849187935,7
2025,36029,952342,941595,"New York","NY",-0.01128481154879235,"Erie County","Erie County","new-york/erie-county",1043,902.7756471716203,8
2025,36055,757551,743672,"New York","NY",-0.018320878726316825,"Monroe County","Monroe County","new-york/monroe-county",657,1131.9208523592085,9
2025,36085,494598,489345,"New York","NY",-0.010620746545679571,"Richmond County","Richmond County","new-york/richmond-county",58,8436.98275862069,10
2025,36067,474192,464163,"New York","NY",-0.021149660896851885,"Onondaga County","Onondaga County","new-york/onondaga-county",778,596.6105398457584,11
2025,36071,400986,409428,"New York","NY",0.021053104098397446,"Orange County","Orange County","new-york/orange-county",812,504.2216748768473,12
2025,36087,337367,341707,"New York","NY",0.012864328757703047,"Rockland County","Rockland County","new-york/rockland-county",174,1963.8333333333333,13
2025,36001,314018,318135,"New York","NY",0.013110713398595042,"Albany County","Albany County","new-york/albany-county",523,608.2887189292543,14
2025,36027,295901,296232,"New York","NY",0.0011186173754058615,"Dutchess County","Dutchess County","new-york/dutchess-county",796,372.1507537688442,15
2025,36091,235793,239197,"New York","NY",0.014436391241470226,"Saratoga County","Saratoga County","new-york/saratoga-county",810,295.30493827160495,16
