"year","fips","pop2020","pop2025","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
2025,48201,4734792,4942701,"Texas","TX",0.04391090463952807,"Harris County","Harris County","texas/harris-county",1707,2895.5483304042177,1
2025,48113,2610112,2615088,"Texas","TX",0.0019064316014025806,"Dallas County","Dallas County","texas/dallas-county",873,2995.5189003436426,2
2025,48439,2115840,2237549,"Texas","TX",0.057522780550514296,"Tarrant County","Tarrant County","texas/tarrant-county",865,2586.7618497109825,3
2025,48029,2015501,2142655,"Texas","TX",0.06308803617562075,"Bexar County","Bexar County","texas/bexar-county",1240,1727.9475806451612,4
2025,48453,1296613,1349783,"Texas","TX",0.041006838586378436,"Travis County","Travis County","texas/travis-county",994,1357.9305835010061,5
2025,48085,1075736,1268087,"Texas","TX",0.17880874117813295,"Collin County","Collin County","texas/collin-county",841,1507.832342449465,6
2025,48121,914398,1067589,"Texas","TX",0.16753208121627572,"Denton County","Denton County","texas/denton-county",879,1214.5494880546075,7
2025,48157,829109,972496,"Texas","TX",0.17294107288667715,"Fort Bend County","Fort Bend County","texas/fort-bend-county",862,1128.185614849188,8
2025,48215,872856,918841,"Texas","TX",0.05268337503551557,"Hidalgo County","Hidalgo County","texas/hidalgo-county",1571,584.8765117759389,9
2025,48141,866606,875162,"Texas","TX",0.00987299880222392,"El Paso County","El Paso County","texas/el-paso-county",1013,863.9308983218164,10
2025,48339,625291,774954,"Texas","TX",0.2393493589384783,"Montgomery County","Montgomery County","texas/montgomery-county",1042,743.7178502879078,11
2025,48491,615552,747027,"Texas","TX",0.21358877885215222,"Williamson County","Williamson County","texas/williamson-county",1116,669.3790322580645,12
2025,48061,421480,430308,"Texas","TX",0.020945240580810376,"Cameron County","Cameron County","texas/cameron-county",892,482.4080717488789,13
2025,48039,373493,420346,"Texas","TX",0.1254454568090968,"Brazoria County","Brazoria County","texas/brazoria-county",1363,308.39765223771093,14
2025,48027,372258,404671,"Texas","TX",0.08707133224806451,"Bell County","Bell County","texas/bell-county",1054,383.938330170778,15
2025,48167,351590,370458,"Texas","TX",0.0536647799994312,"Galveston County","Galveston County","texas/galveston-county",379,977.4617414248021,16
2025,48355,353398,353687,"Texas","TX",0.0008177748600728396,"Nueces County","Nueces County","texas/nueces-county",839,421.5578069129917,17
2025,48303,311578,327298,"Texas","TX",0.05045285610665706,"Lubbock County","Lubbock County","texas/lubbock-county",896,365.28794642857144,18
2025,48209,243968,303252,"Texas","TX",0.24299908184679953,"Hays County","Hays County","texas/hays-county",677,447.9350073855244,19
2025,48309,261193,273425,"Texas","TX",0.046831270363294486,"McLennan County","McLennan County","texas/mclennan-county",1037,263.6692381870781,20
2025,48479,267363,272206,"Texas","TX",0.018113949948197705,"Webb County","Webb County","texas/webb-county",3361,80.98958643260934,21
2025,48423,234199,251637,"Texas","TX",0.0744580463622817,"Smith County","Smith County","texas/smith-county",921,273.2214983713355,22
2025,48245,256133,251286,"Texas","TX",-0.018923762264136168,"Jefferson County","Jefferson County","texas/jefferson-county",877,286.5290763968073,23
2025,48041,234505,250247,"Texas","TX",0.06712863265175573,"Brazos County","Brazos County","texas/brazos-county",586,427.04266211604096,24
2025,48139,194317,243841,"Texas","TX",0.254861900914485,"Ellis County","Ellis County","texas/ellis-county",936,260.5138888888889,25
2025,48251,180964,217726,"Texas","TX",0.20314537698105695,"Johnson County","Johnson County","texas/johnson-county",725,300.31172413793104,26
