District,County,Graduation rate 2023,,,,,,,,
ADDISON ,STEUBEN,93%,,,,,,,,
ADIRONDACK ,ONEIDA,84%,,,,,,,,
AFTON ,CHENANGO,79%,,,,,,,,
AKRON ,ERIE,94%,,,,,,,,
ALBANY ,ALBANY,77%,,,,,,,,
ALBION ,ORLEANS,84%,,,,,,,,
ALDEN ,ERIE,90%,,,,,,,,
ALEXANDER ,GENESEE,85%,,,,,,,,
ALEXANDRIA ,JEFFERSON,88%,,,,,,,,
ALFRED-ALMOND ,ALLEGANY,100%,,,,,,,,
ALLEGANY-LIMESTONE ,CATTARAUGUS,93%,,,,,,,,
ALTMAR-PARISH-WILLIAMSTOWN ,OSWEGO,83%,,,,,,,,
AMHERST ,ERIE,91%,,,,,,,,
AMITYVILLE ,SUFFOLK,81%,,,,,,,,
AMSTERDAM ,MONTGOMERY,79%,,,,,,,,
ANDOVER ,ALLEGANY,93%,,,,,,,,
ARDSLEY ,WESTCHESTER,98%,,,,,,,,
ARGYLE ,WASHINGTON,92%,,,,,,,,
ARKPORT ,STEUBEN,98%,,,,,,,,
ARLINGTON ,DUTCHESS,90%,,,,,,,,
ATTICA ,WYOMING,94%,,,,,,,,
AUBURN ,CAYUGA,72%,,,,,,,,
AUSABLE VALLEY ,CLINTON,95%,,,,,,,,
AVERILL PARK ,RENSSELAER,95%,,,,,,,,
AVOCA ,STEUBEN,94%,,,,,,,,
AVON ,LIVINGSTON,92%,,,,,,,,
BABYLON ,SUFFOLK,95%,,,,,,,,
BAINBRIDGE-GUILFORD ,CHENANGO,91%,,,,,,,,
BALDWIN ,NASSAU,95%,,,,,,,,
BALDWINSVILLE ,ONONDAGA,96%,,,,,,,,
BALLSTON SPA ,SARATOGA,87%,,,,,,,,
BARKER ,NIAGARA,86%,,,,,,,,
BATAVIA ,GENESEE,87%,,,,,,,,
BATH ,STEUBEN,85%,,,,,,,,
BAY SHORE ,SUFFOLK,89%,,,,,,,,
BAYPORT-BLUE POINT ,SUFFOLK,98%,,,,,,,,
BEACON ,DUTCHESS,90%,,,,,,,,
BEAVER RIVER ,LEWIS,97%,,,,,,,,
BEDFORD ,WESTCHESTER,83%,,,,,,,,
BEEKMANTOWN ,CLINTON,89%,,,,,,,,
BELFAST ,ALLEGANY,86%,,,,,,,,
BELLEVILLE-HENDERSON ,JEFFERSON,87%,,,,,,,,
BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,NASSAU,97%,,,,,,,,
BEMUS POINT ,CHAUTAUQUA,96%,,,,,,,,
BERLIN ,RENSSELAER,93%,,,,,,,,
BERNE-KNOX-WESTERLO ,ALBANY,89%,,,,,,,,
BETHLEHEM ,ALBANY,94%,,,,,,,,
BETHPAGE ,NASSAU,96%,,,,,,,,
BINGHAMTON ,BROOME,74%,,,,,,,,
BLIND BROOK-RYE ,WESTCHESTER,99%,,,,,,,,
BOLIVAR-RICHBURG ,ALLEGANY,90%,,,,,,,,
BOLTON ,WARREN,100%,,,,,,,,
BOQUET VALLEY  AT ELIZABETHTOWN-LEWIS,ESSEX,91%,,,,,,,,
BRADFORD ,STEUBEN,95%,,,,,,,,
BRASHER FALLS ,SAINT LAWRENCE,96%,,,,,,,,
BRENTWOOD ,SUFFOLK,84%,,,,,,,,
BREWSTER ,PUTNAM,86%,,,,,,,,
BRIARCLIFF MANOR ,WESTCHESTER,99%,,,,,,,,
BRIDGEHAMPTON ,SUFFOLK,89%,,,,,,,,
BRIGHTON ,MONROE,94%,,,,,,,,
BROADALBIN-PERTH ,FULTON,93%,,,,,,,,
BROCKPORT ,MONROE,90%,,,,,,,,
BROCTON ,CHAUTAUQUA,74%,,,,,,,,
BRONXVILLE ,WESTCHESTER,99%,,,,,,,,
BROOKFIELD ,MADISON,77%,,,,,,,,
BROOKHAVEN-COMSEWOGUE ,SUFFOLK,91%,,,,,,,,
BRUNSWICK  (BRITTONKILL),RENSSELAER,90%,,,,,,,,
BRUSHTON-MOIRA ,FRANKLIN,73%,,,,,,,,
BUFFALO ,ERIE,79%,,,,,,,,
BURNT HILLS-BALLSTON LAKE ,SARATOGA,96%,,,,,,,,
BYRAM HILLS ,WESTCHESTER,99%,,,,,,,,
BYRON-BERGEN ,GENESEE,95%,,,,,,,,
CAIRO-DURHAM ,GREENE,78%,,,,,,,,
CALEDONIA-MUMFORD ,LIVINGSTON,89%,,,,,,,,
CAMBRIDGE ,WASHINGTON,85%,,,,,,,,
CAMDEN ,ONEIDA,85%,,,,,,,,
CAMPBELL-SAVONA ,STEUBEN,98%,,,,,,,,
CANAJOHARIE ,MONTGOMERY,89%,,,,,,,,
CANANDAIGUA ,ONTARIO,93%,,,,,,,,
CANASERAGA ,ALLEGANY,80%,,,,,,,,
CANASTOTA ,MADISON,91%,,,,,,,,
CANDOR ,TIOGA,92%,,,,,,,,
CANISTEO-GREENWOOD CSD,STEUBEN,95%,,,,,,,,
CANTON ,SAINT LAWRENCE,85%,,,,,,,,
CARLE PLACE ,NASSAU,98%,,,,,,,,
CARMEL ,PUTNAM,87%,,,,,,,,
CARTHAGE ,JEFFERSON,87%,,,,,,,,
